,County Number,County
0,1.0,Adair
1,2.0,Adams
2,3.0,Allamakee
3,4.0,Appanoose
4,5.0,Audubon
5,6.0,Benton
6,7.0,Black Hawk
7,8.0,Boone
8,9.0,Bremer
9,10.0,Buchanan
10,11.0,Buena Vista
11,12.0,Butler
12,13.0,Calhoun
13,14.0,Carroll
14,15.0,Cass
15,16.0,Cedar
16,17.0,Cerro Gordo
17,18.0,Cherokee
18,19.0,Chickasaw
19,20.0,Clarke
20,21.0,Clay
21,22.0,Clayton
22,23.0,Clinton
23,24.0,Crawford
24,25.0,Dallas
25,26.0,Davis
26,27.0,Decatur
27,28.0,Delaware
28,29.0,Des Moines
29,30.0,Dickinson
30,31.0,Dubuque
31,32.0,Emmet
32,33.0,Fayette
33,34.0,Floyd
34,35.0,Franklin
35,36.0,Fremont
36,37.0,Greene
37,38.0,Grundy
38,39.0,Guthrie
39,40.0,Hamilton
40,41.0,Hancock
41,42.0,Hardin
42,43.0,Harrison
43,44.0,Henry
44,45.0,Howard
45,46.0,Humboldt
46,47.0,Ida
47,48.0,Iowa
48,49.0,Jackson
49,50.0,Jasper
50,51.0,Jefferson
51,52.0,Johnson
52,53.0,Jones
53,54.0,Keokuk
54,55.0,Kossuth
55,56.0,Lee
56,57.0,Linn
57,58.0,Louisa
58,59.0,Lucas
59,60.0,Lyon
60,61.0,Madison
61,62.0,Mahaska
62,63.0,Marion
63,64.0,Marshall
64,65.0,Mills
65,66.0,Mitchell
66,67.0,Monona
67,68.0,Monroe
68,69.0,Montgomery
69,70.0,Muscatine
70,71.0,O'Brien
71,72.0,Osceola
72,73.0,Page
73,74.0,Palo Alto
74,75.0,Plymouth
75,76.0,Pocahontas
76,77.0,Polk
77,78.0,Pottawattamie
78,79.0,Poweshiek
79,80.0,Ringgold
80,81.0,Sac
81,82.0,Scott
82,83.0,Shelby
83,84.0,Sioux
84,85.0,Story
85,86.0,Tama
86,87.0,Taylor
87,88.0,Union
88,89.0,Van Buren
89,90.0,Wapello
90,91.0,Warren
91,92.0,Washington
92,93.0,Wayne
93,94.0,Webster
94,95.0,Winnebago
95,96.0,Winneshiek
96,97.0,Woodbury
97,98.0,Worth
98,99.0,Wright
